"Vehicle Type","Category","Brand","Model","Perfect Title","Optimized Description","Target URL Slug"
"4W","Mats"," Citroen","C3","Custom  Citroen C3 Car Mats | 7D & Anti-Slip Protection | Autoform India","Keep your  Citroen C3 floors spotless with Autoform's custom 7D car mats. All-weather protection, easy to clean, and perfectly tailored fit.","citroen-c3-mats"
"4W","Mats"," Citroen","C5","Custom  Citroen C5 Car Mats | 7D & Anti-Slip Protection | Autoform India","Keep your  Citroen C5 floors spotless with Autoform's custom 7D car mats. All-weather protection, easy to clean, and perfectly tailored fit.","citroen-c5-mats"
"4W","Mats"," Citroen","Citroen","Custom  Citroen Citroen Car Mats | 7D & Anti-Slip Protection | Autoform India","Keep your  Citroen Citroen floors spotless with Autoform's custom 7D car mats. All-weather protection, easy to clean, and perfectly tailored fit.","citroen-citroen-mats"
"4W","Mats","Audi ","Audi","Custom Audi  Audi Car Mats | 7D & Anti-Slip Protection | Autoform India","Keep your Audi  Audi floors spotless with Autoform's custom 7D car mats. All-weather protection, easy to clean, and perfectly tailored fit.","audi-audi-mats"
"4W","Mats","BMW ","BMW","Custom BMW  BMW Car Mats | 7D & Anti-Slip Protection | Autoform India","Keep your BMW  BMW floors spotless with Autoform's custom 7D car mats. All-weather protection, easy to clean, and perfectly tailored fit.","bmw-bmw-mats"
"4W","Mats","Chevrolet","AVEO","Custom Chevrolet AVEO Car Mats | 7D & Anti-Slip Protection | Autoform India","Keep your Chevrolet AVEO floors spotless with Autoform's custom 7D car mats. All-weather protection, easy to clean, and perfectly tailored fit.","chevrolet-aveo-mats"
"4W","Mats","Chevrolet","Beat","Custom Chevrolet Beat Car Mats | 7D & Anti-Slip Protection | Autoform India","Keep your Chevrolet Beat floors spotless with Autoform's custom 7D car mats. All-weather protection, easy to clean, and perfectly tailored fit.","chevrolet-beat-mats"
"4W","Mats","Chevrolet","Chevrolet","Custom Chevrolet Chevrolet Car Mats | 7D & Anti-Slip Protection | Autoform India","Keep your Chevrolet Chevrolet floors spotless with Autoform's custom 7D car mats. All-weather protection, easy to clean, and perfectly tailored fit.","chevrolet-chevrolet-mats"
"4W","Mats","Chevrolet","CRUZE","Custom Chevrolet CRUZE Car Mats | 7D & Anti-Slip Protection | Autoform India","Keep your Chevrolet CRUZE floors spotless with Autoform's custom 7D car mats. All-weather protection, easy to clean, and perfectly tailored fit.","chevrolet-cruze-mats"
"4W","Mats","Chevrolet","OPTRA","Custom Chevrolet OPTRA Car Mats | 7D & Anti-Slip Protection | Autoform India","Keep your Chevrolet OPTRA floors spotless with Autoform's custom 7D car mats. All-weather protection, easy to clean, and perfectly tailored fit.","chevrolet-optra-mats"
